type,message_size,q1_bytes_sent,q2_bytes_sent,compressed_size,compression_used,compression_ratio,percent_reduction,rtt_ms
repetitive,50,50,63,60,0,1.2000,-26.00,0.238
repetitive,500,500,75,62,1,0.1240,85.00,0.125
repetitive,5000,5000,80,67,1,0.0134,98.40,0.285
repetitive,50000,50000,138,125,1,0.0025,99.72,7.567
text,50,50,63,73,0,1.4600,-26.00,0.232
text,500,500,417,404,1,0.8080,16.60,0.231
text,5000,5000,423,410,1,0.0820,91.54,0.527
text,50000,50000,481,468,1,0.0094,99.04,1.481
random,50,50,63,59,0,1.1800,-26.00,0.096
random,500,500,513,885,0,1.7700,-2.60,0.536
random,5000,5000,5013,13520,0,2.7040,-0.26,28.916
random,50000,50000,50013,141525,0,2.8305,-0.03,501.124
